,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,Plan for your needs,,,,,
,,,,,Tier 1,Tier 2,Tier 3,Tier 4,,
,,,,,$0,$750,"$1,250",Custom Pricing,,
,,,,,,(+)one-time setup fee,(+) $250/contributor (+)one-time setup fee,,,
,,,,,,,,,,
,,,Description,Plan,Essentials,Starter,Standard,Custom,,Compare Plans
,Offer Category (internal use),,,Best for ,Exploration solo use,Early stage ,Growing operations tems of 3 +,Scaling organizations,,
,Core Tools & Documentation ,,"A global invoice generation tool that created professuinally structured invoices following international best practices, while remaining independent from any specific legal or tax jurisdiction.",Global Invoice generator ,TRUE,TRUE,TRUE,TRUE,,
,Core Tools & Documentation ,,"A budget planning tool that helps organizations allocate resources across teams projects and categories following financial best practices, with defined budget catefories and time horizons.",Budget generator,TRUE,TRUE,TRUE,TRUE,,
,Core Tools & Documentation ,,,Legal document templates,TRUE,TRUE,TRUE,TRUE,,
,Core Tools & Documentation ,,,Needs analysis,TRUE,TRUE,TRUE,TRUE,,
,Entity & Compliance Foundation ,,"Swiss Association Setup: Formation of a Swiss Association with the support of a Swiss licensed counsel. Includes use of templates for founding documents and articles of association, a workshop, and a founding meeting with counsel. ",Swiss association formation,-,TRUE,TRUE,TRUE,,
,Entity & Compliance Foundation ,,"Contract templates: Professionally drafted contract templates for contributor agreements, internal Multisig Agreements, and other operational needs.",Registered address (Zug),-,TRUE,TRUE,TRUE,,
,Entity & Compliance Foundation ,,"VAT documentation for Swiss VAT reporting, ensuring that all relevant invoices, payment records, and transaction classifications are properly maintained to support accurate VAT filings and potential audits by the Swiss Federal Tax Administration (FTA). If the entity is not registered in the Commercial registry, the VAT ID may serve as the company identification number with customers and suppliers.",VAT documentation ,-,TRUE,TRUE,TRUE,,
,Entity & Compliance Foundation ,,"Structured support for Swiss annual tax compliance and VAT reporting (by default, quarterly), handled by licensed tax professionals, coordinated through our operational framework.","Annual tax filing
+ VAT reporintg (default: quarterly)",-,TRUE,TRUE,TRUE,,
,Financial Operations & Reporting,,Expense tracking and reimbursement workflows,Reimbursement management ,-,TRUE,TRUE,TRUE,,
